～倍<div class="hint">～times; ～fold</div>,～ばい,～times; ～fold,<ruby>高<rt>たか</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>が <ruby>安<rt>やす</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>の10 <ruby>倍<rt>ばい</rt></ruby>です。,An expensive car is 10X a cheap car.
研究<div class="hint">study; research</div>,けんきゅう,study; research,<ruby>数学<rt>すうがく</rt></ruby>の <ruby>研究<rt>けんきゅう</rt></ruby>が <ruby>難<rt>むずか</rt></ruby>しすぎる。,Mathematics research is too difficult.
研究室<div class="hint">laboratory</div>,けんきゅうしつ,laboratory,<ruby>先生<rt>せんせい</rt></ruby>が <ruby>研究<rt>けんきゅう</rt></ruby> <ruby>室<rt>しつ</rt></ruby>にいるんですが、 <ruby>後<rt>あと</rt></ruby>でオフィスに <ruby>戻<rt>もど</rt></ruby>ります。,The teacher is in the laboratory now; but he will return to his office later.
硬い<div class="hint">hard (opposite of soft: やわらかい)</div>,かたい,hard (opposite of soft: やわらかい),<ruby>石<rt>いし</rt></ruby>が <ruby>硬<rt>かた</rt></ruby>いから <ruby>投<rt>な</rt></ruby>げないで。,The rock is hard; so don't throw it.
確か<div class="hint">sure; definite | true</div>,たしか,sure; definite | true,この <ruby>教科書<rt>きょうかしょ</rt></ruby>が <ruby>高<rt>たか</rt></ruby>いのは <ruby>確<rt>たし</rt></ruby>かですが、 <ruby>読<rt>よ</rt></ruby>みやすいかどうかわかりません。,That this textbook is expensive is true; but I do not know if it is easy to read.
社会<div class="hint">society</div>,しゃかい,society,あの <ruby>法律<rt>ほうりつ</rt></ruby>は <ruby>社会<rt>しゃかい</rt></ruby>にいいです。,That law is good for society.
社長<div class="hint">company president</div>,しゃちょう,company president,<ruby>大<rt>おお</rt></ruby>きい <ruby>会社<rt>かいしゃ</rt></ruby>の <ruby>社長<rt>しゃちょう</rt></ruby>になりたい。,I want to become the president of a large company.
祈る<div class="hint">to pray; to wish</div>,いのる,to pray; to wish,<ruby>宝<rt>たから</rt></ruby>くじが <ruby>当<rt>あ</rt></ruby>たるように <ruby>祈<rt>いの</rt></ruby>ります。,I pray that I will win the lottery.
祖母<div class="hint">(my) grandmother</div>,そぼ,(my) grandmother,<ruby>祖母<rt>そぼ</rt></ruby>が80 <ruby>歳<rt>さい</rt></ruby>なのに、 <ruby>毎日<rt>まいにち</rt></ruby> <ruby>水泳<rt>すいえい</rt></ruby>をしています。,My grandmother is 80; but still swims everyday.
祖父<div class="hint">(my) grandfather</div>,そふ,(my) grandfather,<ruby>祖父<rt>そふ</rt></ruby>が80 <ruby>歳<rt>さい</rt></ruby>で <ruby>亡<rt>な</rt></ruby>くなりました。,My grandfather died at 80.
神社<div class="hint">Shinto shrine</div>,じんじゃ,Shinto shrine,お <ruby>正月<rt>しょうがつ</rt></ruby>に <ruby>神社<rt>じんじゃ</rt></ruby>に <ruby>行<rt>い</rt></ruby>きました。,I went to the shrine on New Year's Day.
祭り<div class="hint">festival</div>,まつり,festival,<ruby>今週<rt>こんしゅう</rt></ruby>の <ruby>土曜日<rt>どようび</rt></ruby>にお <ruby>祭<rt>まつ</rt></ruby>りがありますが、 <ruby>行<rt>い</rt></ruby>きませんか？,There is a festival this week Saturday; won't you go?
科学<div class="hint">science</div>,かがく,science,<ruby>科学<rt>かがく</rt></ruby>が <ruby>面白<rt>おもしろ</rt></ruby>いので、 <ruby>勉強<rt>べんきょう</rt></ruby>したいです。,Science is interesting so I want to study it.
移る<div class="hint">to move; to transfer</div>,うつる,to move; to transfer,ここが <ruby>空<rt>あ</rt></ruby>いているので、 <ruby>前<rt>まえ</rt></ruby>の <ruby>席<rt>せき</rt></ruby>に <ruby>移<rt>うつ</rt></ruby>ってください。,It is empty here; so move to a seat in the front.
空く (あく)<div class="hint">to be open; to become empty</div>,あく,to be open; to become empty,ここが <ruby>空<rt>あ</rt></ruby>いているので、 <ruby>前<rt>まえ</rt></ruby>の <ruby>席<rt>せき</rt></ruby>に <ruby>移<rt>うつ</rt></ruby>ってください。,It is empty here; so move to a seat in the front.
空く (すく)<div class="hint">to become less crowded; to get empty</div>,すく,to become less crowded; to get empty,<ruby>終電<rt>しゅうでん</rt></ruby>の <ruby>時間<rt>じかん</rt></ruby>になって、この <ruby>居酒屋<rt>いざかや</rt></ruby>が <ruby>空<rt>す</rt></ruby>いてきた。,It was time for the last train and this izakaya became less crowded.
空気<div class="hint">air; atmosphere | mood; situation</div>,くうき,air; atmosphere | mood; situation,メキシコ <ruby>市<rt>し</rt></ruby>の <ruby>空気<rt>くうき</rt></ruby>が <ruby>汚<rt>きたな</rt></ruby>くて、 <ruby>息<rt>いき</rt></ruby>しにくい。,The air in Mexico City is polluted and it is difficult to breath.
空港<div class="hint">airport</div>,くうこう,airport,<ruby>空港<rt>くうこう</rt></ruby>に <ruby>着<rt>つ</rt></ruby>いたらすぐに <ruby>連絡<rt>れんらく</rt></ruby>します。,I'll contact you  as soon as I am at the airport.
立てる<div class="hint">to stand up; to erect</div>,たてる,to stand up; to erect,<ruby>犬<rt>いぬ</rt></ruby>は <ruby>耳<rt>みみ</rt></ruby>を <ruby>立<rt>た</rt></ruby>てました。,The dog stood his ears up.
競争<div class="hint">competition; race</div>,きょうそう,competition; race,あの <ruby>建物<rt>たてもの</rt></ruby>まで <ruby>競争<rt>きょうそう</rt></ruby>しよう。,Let's race to that building.
笑う<div class="hint">to laugh; to smile</div>,わらう,to laugh; to smile,<ruby>面白<rt>おもしろ</rt></ruby>いから <ruby>笑<rt>わら</rt></ruby>った。,I laughed because it was funny.
答<div class="hint">answer; reply</div>,こたえ,answer; reply,この <ruby>答<rt>こたえ</rt></ruby>が <ruby>正<rt>ただ</rt></ruby>しいかどうか <ruby>分<rt>わ</rt></ruby>かりません。,I don't know if this answer is correct.
簡単<div class="hint">simple</div>,かんたん,simple,<ruby>簡単<rt>かんたん</rt></ruby>な <ruby>質問<rt>しつもん</rt></ruby>なのに、 <ruby>答<rt>こた</rt></ruby>えが <ruby>分<rt>わ</rt></ruby>かりません。,Although it is a simple question; I don't know the answer.
米<div class="hint">rice</div>,こめ,rice,<ruby>最近<rt>さいきん</rt></ruby>いつも <ruby>米<rt>こめ</rt></ruby>を <ruby>食<rt>た</rt></ruby>べているから、 <ruby>今日<rt>きょう</rt></ruby>パンにしよう。,We've been eating rice all the time recently; so let's have bread today.
糸<div class="hint">thread; string</div>,いと,thread; string,このシャツを <ruby>直<rt>なお</rt></ruby>したいんですが、 <ruby>糸<rt>いと</rt></ruby>がありますか？,I want to fix this shirt; but do you have string?
約束<div class="hint">promise; agreement</div>,やくそく,promise; agreement,<ruby>母<rt>はは</rt></ruby>に <ruby>遊<rt>あそ</rt></ruby>ぶ <ruby>前<rt>まえ</rt></ruby>に <ruby>宿題<rt>しゅくだい</rt></ruby>をすると <ruby>約束<rt>やくそく</rt></ruby>しました。,I promised my mother I would do my homework before playing.
素晴らしい<div class="hint">wonderful; splendid</div>,すばらしい,wonderful; splendid,ホテルの50 <ruby>階<rt>かい</rt></ruby>からの <ruby>景色<rt>けしき</rt></ruby>は <ruby>素晴<rt>すば</rt></ruby>らしいです。,The view from the 50th floor of the hotel is splendid.
細かい<div class="hint">small; minor</div>,こまかい,small; minor,<ruby>細<rt>こま</rt></ruby>かい <ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>っていた。,Small rain (small raindrops) was falling.
紹介<div class="hint">introduction</div>,しょうかい,introduction,ジョンをジェーンに <ruby>紹介<rt>しょうかい</rt></ruby>してあげました。,I introduced John to Jane.
終わり<div class="hint">the end</div>,おわり,the end,これで <ruby>終<rt>お</rt></ruby>わりです。,This is the end.
経済<div class="hint">economics</div>,けいざい,economics,<ruby>経済<rt>けいざい</rt></ruby> <ruby>学<rt>がく</rt></ruby>,the study of economics
経験<div class="hint">experience</div>,けいけん,experience,<ruby>大<rt>おお</rt></ruby>きい <ruby>地震<rt>じしん</rt></ruby>を <ruby>経験<rt>けいけん</rt></ruby>しましたか？,Have you experienced a large earthquake?
絹<div class="hint">silk</div>,きぬ,silk,<ruby>絹<rt>きぬ</rt></ruby>で <ruby>作<rt>つく</rt></ruby>った <ruby>服<rt>ふく</rt></ruby>は <ruby>高<rt>たか</rt></ruby>くて <ruby>買<rt>か</rt></ruby>えないです。,The clothes made of silk are expensive and I can't buy them.
続く<div class="hint">to continue</div>,つづく,to continue,<ruby>暑<rt>あつ</rt></ruby>い <ruby>日<rt>ひ</rt></ruby>が <ruby>続<rt>つづ</rt></ruby>くから <ruby>冷房<rt>れいぼう</rt></ruby>を <ruby>買<rt>か</rt></ruby>おう。,Hot days will continue; so let's buy an air conditioner.
続ける<div class="hint">to continue</div>,つづける,to continue,<ruby>日本語<rt>にほんご</rt></ruby>の <ruby>勉強<rt>べんきょう</rt></ruby>を <ruby>続<rt>つづ</rt></ruby>けます。,I will continue to study Japanese.
線<div class="hint">line</div>,せん,line,<ruby>黒<rt>くろ</rt></ruby>い <ruby>線<rt>せん</rt></ruby>の <ruby>上<rt>うえ</rt></ruby>にサインしてください。,Please sign your name above the black line.
美しい<div class="hint">beautiful; lovely</div>,うつくしい,beautiful; lovely,<ruby>旅館<rt>りょかん</rt></ruby>から <ruby>美<rt>うつく</rt></ruby>しい <ruby>景色<rt>けしき</rt></ruby>が <ruby>見<rt>み</rt></ruby>えます。,You can see beautiful scenery from the ryokan.
美術館<div class="hint">art museum</div>,びじゅつかん,art museum,アートが <ruby>好<rt>す</rt></ruby>きだから1か <ruby>月<rt>げつ</rt></ruby>に1 <ruby>回<rt>かい</rt></ruby> <ruby>美術館<rt>びじゅつかん</rt></ruby>に <ruby>行<rt>い</rt></ruby>きます。,I like art so I go to the museum once a month.
習慣<div class="hint">habit; custom</div>,しゅうかん,habit; custom,<ruby>毎晩<rt>まいばん</rt></ruby> <ruby>日本語<rt>にほんご</rt></ruby>を <ruby>勉強<rt>べんきょう</rt></ruby>する <ruby>習慣<rt>しゅうかん</rt></ruby>にしています。,I am making a habit of studying Japanese every night.
翻訳<div class="hint">translation</div>,ほんやく,translation,<ruby>英語<rt>えいご</rt></ruby>のテキストを <ruby>日本語<rt>にほんご</rt></ruby>に <ruby>翻訳<rt>ほんやく</rt></ruby>しました。,I translated the English text to Japanese.
考える<div class="hint">to think; to ponder</div>,かんがえる,to think; to ponder,さっきの <ruby>難<rt>むずか</rt></ruby>しい <ruby>問題<rt>もんだい</rt></ruby>を <ruby>考<rt>かんが</rt></ruby>えています。,I am thinking about the recent difficult problem.
聞こえる<div class="hint">able to be heard</div>,きこえる,able to be heard,<ruby>後<rt>うし</rt></ruby>ろの <ruby>人<rt>ひと</rt></ruby>は <ruby>聞<rt>き</rt></ruby>こえますか？,Can the people in the back hear me?
育てる<div class="hint">to raise; to rear</div>,そだてる,to raise; to rear,<ruby>子供<rt>こども</rt></ruby>を <ruby>育<rt>そだ</rt></ruby>てる,to raise children
背中<div class="hint">back (of body)</div>,せなか,back (of body),<ruby>昨日<rt>きのう</rt></ruby> <ruby>運動<rt>うんどう</rt></ruby>しすぎたから <ruby>背中<rt>せなか</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>い。,My back hurts because I exercised too much yesterday.
腕<div class="hint">arm</div>,うで,arm,<ruby>昨日<rt>きのう</rt></ruby> <ruby>運動<rt>うんどう</rt></ruby>しすぎたから <ruby>腕<rt>うで</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>い。,My arm hurts because I exercised too much yesterday.
自由<div class="hint">freedom</div>,じゆう,freedom,サンプルを <ruby>自由<rt>じゆう</rt></ruby>にとってください。,Please take the samples freely.
臭い<div class="hint">smell; scent</div>,におい,smell; scent,このモイスチャーはバラの <ruby>臭<rt>にお</rt></ruby>いじゃない？,I think this moisturizer is the scent of roses.
致す<div class="hint">(hum) to do</div>,いたす,(hum) to do,<ruby>承知<rt>しょうち</rt></ruby> <ruby>致<rt>いた</rt></ruby>しました。,I understand and agree.  (Often used when addressing a customer)
興味<div class="hint">interest (in something); curiosity</div>,きょうみ,interest (in something); curiosity,<ruby>日本<rt>にほん</rt></ruby>の <ruby>文化<rt>ぶんか</rt></ruby>に <ruby>興味<rt>きょうみ</rt></ruby>があるので、 <ruby>留学<rt>りゅうがく</rt></ruby>しました。,I am interested in Japanese culture; so I studied abroad.
船<div class="hint">ship; boat</div>,ふね,ship; boat,<ruby>船<rt>ふね</rt></ruby>が <ruby>好<rt>す</rt></ruby>きなら <ruby>一<rt>いっ</rt></ruby> <ruby>回<rt>かい</rt></ruby>クルーズに <ruby>行<rt>い</rt></ruby>ってほしいです。,If you like boats; I want you go to on a cruise once.
花見<div class="hint">cherry blossom viewing</div>,はなみ,cherry blossom viewing,<ruby>明日<rt>あした</rt></ruby> <ruby>天気<rt>てんき</rt></ruby>が <ruby>良<rt>い</rt></ruby>いので、 <ruby>花見<rt>はなみ</rt></ruby>しに <ruby>行<rt>い</rt></ruby>こう。,Tomorrow will be good weather; so let's go cherry blossom viewing.
苦い<div class="hint">bitter</div>,にがい,bitter,<ruby>苦<rt>にが</rt></ruby>いコーヒーが <ruby>飲<rt>の</rt></ruby>みにくいです。,Bitter coffee is difficult to drink.
草<div class="hint">grass; weed</div>,くさ,grass; weed,<ruby>牛<rt>うし</rt></ruby>は <ruby>草<rt>くさ</rt></ruby>を <ruby>食<rt>た</rt></ruby>べる。,Cows eat grass.
落す<div class="hint">to drop</div>,おとす,to drop,ガラスのコップを <ruby>落<rt>おと</rt></ruby>さないように <ruby>気<rt>き</rt></ruby>を <ruby>付<rt>つ</rt></ruby>けてください。,Please be careful not to drop the glass cup.
落ちる<div class="hint">to fall; to drop | to fail</div>,おちる,to fall; to drop | to fail,<ruby>寒<rt>さむ</rt></ruby>くなると <ruby>紅葉<rt>こうよう</rt></ruby>が <ruby>落<rt>お</rt></ruby>ちてくる。,When it becomes cold; the autumn leaves will fall.
葉<div class="hint">leaf; blade (of grass)</div>,は,leaf; blade (of grass),<ruby>秋<rt>あき</rt></ruby>になると <ruby>葉<rt>は</rt></ruby>は <ruby>黄色<rt>きいろ</rt></ruby>くなります。,The leaves turn yellow when it becomes autumn.
虫<div class="hint">insect; bug</div>,むし,insect; bug,<ruby>林<rt>はやし</rt></ruby>の <ruby>中<rt>なか</rt></ruby>で <ruby>虫<rt>むし</rt></ruby>にさされた。,I was bitten by insects in the woods.
血<div class="hint">blood</div>,ち,blood,<ruby>警察<rt>けいさつ</rt></ruby>は <ruby>床<rt>ゆか</rt></ruby>に <ruby>血<rt>ち</rt></ruby>を <ruby>発見<rt>はっけん</rt></ruby>しました。,The police found some blood on the floor.
行う<div class="hint">to conduct; to carry out</div>,おこなう,to conduct; to carry out,<ruby>調査<rt>ちょうさ</rt></ruby>を <ruby>行<rt>おこな</rt></ruby>う,to carry out a survey
表<div class="hint">surface; face; front</div>,おもて,surface; face; front,<ruby>免許<rt>めんきょ</rt></ruby>の <ruby>表<rt>おもて</rt></ruby>と <ruby>裏<rt>うら</rt></ruby>をスキャンしてください。,Please scan the front and back of your driver's license.
裏<div class="hint">bottom; back</div>,うら,bottom; back,<ruby>免許<rt>めんきょ</rt></ruby>の <ruby>表<rt>おもて</rt></ruby>と <ruby>裏<rt>うら</rt></ruby>をスキャンしてください。,Please scan the front and back of your driver's license.
複雑<div class="hint">complex; complicated</div>,ふくざつ,complex; complicated,<ruby>細<rt>こま</rt></ruby>かい <ruby>点<rt>てん</rt></ruby>がたくさんあるので、それは <ruby>複雑<rt>ふくざつ</rt></ruby>な <ruby>問題<rt>もんだい</rt></ruby>ですね。,There are many small points; so that is a complicated problem.
褒める<div class="hint">to praise</div>,ほめる,to praise,<ruby>本田<rt>ほんだ</rt></ruby>さんはあなたを <ruby>褒<rt>ほ</rt></ruby>めたよ。,Mr. Honda praised you.
西洋<div class="hint">the west; Western countries</div>,せいよう,the west; Western countries,<ruby>西洋<rt>せいよう</rt></ruby>の <ruby>文化<rt>ぶんか</rt></ruby>は <ruby>日本<rt>にほん</rt></ruby>の <ruby>文化<rt>ぶんか</rt></ruby>と <ruby>違<rt>ちが</rt></ruby>います。,The culture of the west is different from Japanese culture.
見える<div class="hint">to be seen; to look</div>,みえる,to be seen; to look,<ruby>彼女<rt>かのじょ</rt></ruby>はプレゼントをもらったら <ruby>嬉<rt>うれ</rt></ruby>しく <ruby>見<rt>み</rt></ruby>えた。,She looked overjoyed when she received the present.
見つかる<div class="hint">to be found</div>,みつかる,to be found,この <ruby>間<rt>あいだ</rt></ruby> <ruby>忘<rt>わす</rt></ruby>れた <ruby>傘<rt>かさ</rt></ruby>が <ruby>見<rt>み</rt></ruby>つかりましたか？,Was the umberella you said you forgot the other day found?
見つける<div class="hint">to find</div>,みつける,to find,この <ruby>間<rt>あいだ</rt></ruby> <ruby>忘<rt>わす</rt></ruby>れた <ruby>傘<rt>かさ</rt></ruby>を <ruby>見<rt>み</rt></ruby>つけました。,I found the umberella I forgot the other day.
見物<div class="hint">sightseeing; watching</div>,けんぶつ,sightseeing; watching,<ruby>歴史<rt>れきし</rt></ruby>のある <ruby>京都<rt>きょうと</rt></ruby>に <ruby>見物<rt>けんぶつ</rt></ruby>しに <ruby>行<rt>い</rt></ruby>ってください。,Please go sightseeing in Kyoto; where there is history.
規則<div class="hint">rule; regulation</div>,きそく,rule; regulation,<ruby>入学<rt>にゅうがく</rt></ruby> <ruby>式<rt>しき</rt></ruby>の <ruby>前<rt>まえ</rt></ruby>に <ruby>規則<rt>きそく</rt></ruby>をよく <ruby>読<rt>よ</rt></ruby>んでください。,Please read the rules before the entrance ceremony.
親<div class="hint">parent(s)</div>,おや,parent(s),<ruby>親<rt>おや</rt></ruby>と <ruby>一緒<rt>いっしょ</rt></ruby>に <ruby>温泉<rt>おんせん</rt></ruby>に <ruby>行<rt>い</rt></ruby>きました。,I went together with my parents to the hot spring.
親切<div class="hint">kindness; gentleness</div>,しんせつ,kindness; gentleness,<ruby>彼<rt>かれ</rt></ruby>はいつも <ruby>日本語<rt>にほんご</rt></ruby>を <ruby>教<rt>おし</rt></ruby>えてくれて、 <ruby>親切<rt>しんせつ</rt></ruby>です。,He is kind because he is always teaching me Japanese.
触る<div class="hint">to touch; to feel</div>,さわる,to touch; to feel,<ruby>熱<rt>あつ</rt></ruby>いから <ruby>触<rt>さわ</rt></ruby>らないでね。,Don't touch this because it's hot.
計画<div class="hint">plan; schedule</div>,けいかく,plan; schedule,この <ruby>計画<rt>けいかく</rt></ruby>で <ruby>勉強<rt>べんきょう</rt></ruby>すると <ruby>試験<rt>しけん</rt></ruby>までに <ruby>終<rt>お</rt></ruby>わらないよ。,If you study with this plan; you won't finish by the test.
訪ねる<div class="hint">to visit; to call on</div>,たずねる,to visit; to call on,<ruby>友達<rt>ともだち</rt></ruby>の <ruby>家<rt>いえ</rt></ruby>を <ruby>訪<rt>たず</rt></ruby>ねた。,I visited my friend's home.
試合<div class="hint">match; game</div>,しあい,match; game,<ruby>雨<rt>あめ</rt></ruby>がざあざあ <ruby>降<rt>ふ</rt></ruby>ったから <ruby>試合<rt>しあい</rt></ruby>が <ruby>延期<rt>えんき</rt></ruby>されました。,It rained hard so the game was postponed.
試験<div class="hint">exam; test</div>,しけん,exam; test,<ruby>勉強<rt>べんきょう</rt></ruby>しなかったから <ruby>日本語<rt>にほんご</rt></ruby> <ruby>能力<rt>のうりょく</rt></ruby> <ruby>試験<rt>しけん</rt></ruby>を <ruby>失敗<rt>しっぱい</rt></ruby>しました。,I failed the JLPT because I didn't study.
説明<div class="hint">explanation; exposition</div>,せつめい,explanation; exposition,<ruby>遅<rt>おく</rt></ruby>れた <ruby>理由<rt>りゆう</rt></ruby>を <ruby>説明<rt>せつめい</rt></ruby>してください。,Please explain the reason you were late.
課長<div class="hint">section manager; section chief</div>,かちょう,section manager; section chief,<ruby>課長<rt>かちょう</rt></ruby>の <ruby>上司<rt>じょうし</rt></ruby>は <ruby>部長<rt>ぶちょう</rt></ruby>です。,The sction manager's superior is the department manager.
調べる<div class="hint">to investigate; to look up</div>,しらべる,to investigate; to look up,<ruby>知<rt>し</rt></ruby>らない <ruby>言葉<rt>ことば</rt></ruby>の <ruby>意味<rt>いみ</rt></ruby>を <ruby>辞書<rt>じしょ</rt></ruby>で <ruby>調<rt>しら</rt></ruby>べてください。,Please look up the words you don't know in a dictionary.
講堂<div class="hint">auditorium; lecture hall</div>,こうどう,auditorium; lecture hall,<ruby>講義<rt>こうぎ</rt></ruby>は <ruby>講堂<rt>こうどう</rt></ruby>で1 <ruby>時<rt>じ</rt></ruby>に <ruby>開催<rt>かいさい</rt></ruby>します。,We will start the lecture in the auditorium at 1:00.
講義<div class="hint">lecture</div>,こうぎ,lecture,<ruby>講義<rt>こうぎ</rt></ruby>は <ruby>講堂<rt>こうどう</rt></ruby>で1 <ruby>時<rt>じ</rt></ruby>に <ruby>開催<rt>かいさい</rt></ruby>します。,We will start the lecture in the auditorium at 1:00.
謝る<div class="hint">to apologize</div>,あやまる,to apologize,<ruby>悪<rt>わる</rt></ruby>いことをやっていないから <ruby>謝<rt>あやま</rt></ruby>らない。,I won't apologize because I have not done anything wrong.
警察<div class="hint">police; ploliceman</div>,けいさつ,police; ploliceman,<ruby>警察<rt>けいさつ</rt></ruby>が <ruby>泥棒<rt>どろぼう</rt></ruby>を <ruby>逮捕<rt>たいほ</rt></ruby>した。,The policeman arrested the thief.
負ける<div class="hint">to lose; to be defeated</div>,まける,to lose; to be defeated,<ruby>頑張<rt>がんば</rt></ruby>ったのに、 <ruby>向<rt>む</rt></ruby>こうのチームが <ruby>強<rt>つよ</rt></ruby>くて <ruby>負<rt>ま</rt></ruby>けました。,We tried hard; but the other team was strong and we lost.
貿易<div class="hint">trade (economics)</div>,ぼうえき,trade (economics),<ruby>日本<rt>にほん</rt></ruby>は <ruby>米国<rt>べいこく</rt></ruby>と <ruby>大量<rt>たいりょう</rt></ruby>に <ruby>貿易<rt>ぼうえき</rt></ruby>をしている。,Japan trades a lot with the United States.
贈り物<div class="hint">present; gift</div>,おくりもの,present; gift,<ruby>娘<rt>むすめ</rt></ruby>さんの <ruby>贈<rt>おく</rt></ruby>り <ruby>物<rt>もの</rt></ruby>は <ruby>何<rt>なに</rt></ruby>にしますか？,What will you do for your daughter's present?
赤ちゃん<div class="hint">baby</div>,あかちゃん,baby,あの <ruby>赤<rt>あか</rt></ruby>ちゃんは <ruby>人形<rt>にんぎょう</rt></ruby>のような <ruby>大<rt>おお</rt></ruby>きさですね。,That baby is the size of a doll.
赤ん坊<div class="hint">baby; infant</div>,あかんぼう,baby; infant,<ruby>医者<rt>いしゃ</rt></ruby>は <ruby>赤<rt>あか</rt></ruby>ん <ruby>坊<rt>ぼう</rt></ruby>を <ruby>見<rt>み</rt></ruby>ました。,The doctor looked at the baby.
起こす<div class="hint">to wake up</div>,おこす,to wake up,<ruby>短<rt>みじか</rt></ruby>い <ruby>昼寝<rt>ひるね</rt></ruby>をしたいので、30 <ruby>分<rt>ぷん</rt></ruby> <ruby>後<rt>ご</rt></ruby> <ruby>起<rt>お</rt></ruby>こしてくれますか？,I want to take a short nap; so could you wake me in 30 min?
趣味<div class="hint">hobby</div>,しゅみ,hobby,<ruby>小説<rt>しょうせつ</rt></ruby>を <ruby>書<rt>か</rt></ruby>くのが <ruby>趣味<rt>しゅみ</rt></ruby>です。,Writing short stories is my hobby.
足す<div class="hint">to add</div>,たす,to add,<ruby>砂糖<rt>さとう</rt></ruby>が <ruby>足<rt>た</rt></ruby>りなかったからちょっと <ruby>足<rt>た</rt></ruby>しました,There wasn't enough sugar; so I added a little.
足りる<div class="hint">to be sufficient; to be enough</div>,たりる,to be sufficient; to be enough,<ruby>砂糖<rt>さとう</rt></ruby>が <ruby>足<rt>た</rt></ruby>りなかったからちょっと <ruby>足<rt>た</rt></ruby>しました,There wasn't enough sugar; so I added a little.
踊り<div class="hint">dance</div>,おどり,dance,<ruby>盆踊<rt>ぼんおど</rt></ruby>り,Bon dance
踊る<div class="hint">to dance</div>,おどる,to dance,<ruby>踊<rt>おど</rt></ruby>るのが <ruby>好<rt>す</rt></ruby>きです。,I like dancing.
踏む<div class="hint">to step on</div>,ふむ,to step on,<ruby>片付<rt>かたづ</rt></ruby>けてないから <ruby>子供<rt>こども</rt></ruby>のおもちゃを <ruby>踏<rt>ふ</rt></ruby>んでしまいました。,I did not clean up so I stepped on the child's toy.
輸入<div class="hint">import</div>,ゆにゅう,import,フランスから <ruby>輸入<rt>ゆにゅう</rt></ruby>されたワインが <ruby>美味<rt>おい</rt></ruby>しい。,The wine imported from France is delicious.
輸出<div class="hint">export</div>,ゆしゅつ,export,<ruby>最近<rt>さいきん</rt></ruby> <ruby>和牛<rt>わぎゅう</rt></ruby>が <ruby>人気<rt>にんき</rt></ruby>になっている <ruby>日本<rt>にほん</rt></ruby>の <ruby>輸出<rt>ゆしゅつ</rt></ruby>です。,Recently; Japanese beef is a Japanese export that is becoming popular.
辞典<div class="hint">dictionary</div>,じてん,dictionary,<ruby>本棚<rt>ほんだな</rt></ruby>に <ruby>英和<rt>えいわ</rt></ruby> <ruby>辞典<rt>じてん</rt></ruby>がありますか？,Is there an English-Japanese dictionary on the bookshelf?
込む<div class="hint">to be crowded; to be packed</div>,こむ,to be crowded; to be packed,<ruby>駅<rt>えき</rt></ruby>が <ruby>非常<rt>ひじょう</rt></ruby>に <ruby>込<rt>こ</rt></ruby>んでいたので、 <ruby>電車<rt>でんしゃ</rt></ruby>に <ruby>乗<rt>の</rt></ruby>るまで <ruby>時間<rt>じかん</rt></ruby>がかかりました。,The station was very crowded; so it took time to get on the train.
迎える<div class="hint">to pickup; to greet; to receive</div>,むかえる,to pickup; to greet; to receive,<ruby>息子<rt>むすこ</rt></ruby>を <ruby>迎<rt>むか</rt></ruby>えに <ruby>行<rt>い</rt></ruby>く。,I will go to pickup my son.
近所<div class="hint">neighborhood</div>,きんじょ,neighborhood,<ruby>近所<rt>きんじょ</rt></ruby>の <ruby>迷惑<rt>めいわく</rt></ruby>になるので、 <ruby>静<rt>しず</rt></ruby>かにしなさい。,It is causing trouble for the neighborhood; so be quiet!
返事<div class="hint">reply; response</div>,へんじ,reply; response,<ruby>返事<rt>へんじ</rt></ruby>が <ruby>来<rt>く</rt></ruby>るまで <ruby>待<rt>ま</rt></ruby>つ。,I will wait until a reply comes.
退院<div class="hint">discharge from hospital</div>,たいいん,discharge from hospital,<ruby>大分<rt>だいぶ</rt></ruby> <ruby>治<rt>なお</rt></ruby>っているので、 <ruby>後<rt>あと</rt></ruby> <ruby>二<rt>に</rt></ruby> <ruby>週間<rt>しゅうかん</rt></ruby>で <ruby>退院<rt>たいいん</rt></ruby>できると <ruby>思<rt>おも</rt></ruby>います。,You have mostly healed; so I think you can be discharged in two weeks.
送る<div class="hint">to send; to dispatch | to escort</div>,おくる,to send; to dispatch | to escort,お <ruby>客様<rt>きゃくさま</rt></ruby>にメールを <ruby>送<rt>おく</rt></ruby>ってください。,Please send an email to the customer.
逃げる<div class="hint">to escape; to run away</div>,にげる,to escape; to run away,<ruby>泥棒<rt>どろぼう</rt></ruby>が <ruby>逃<rt>に</rt></ruby>げました。,The thief ran away.
途中<div class="hint">on the way to; in the middle of</div>,とちゅう,on the way to; in the middle of,<ruby>途中<rt>とちゅう</rt></ruby>で <ruby>私<rt>わたし</rt></ruby>の <ruby>車<rt>くるま</rt></ruby>が <ruby>故障<rt>こしょう</rt></ruby>した。,My car broke down on the way.
