起こる<div class="hint">happen</div>,おこる,happen,<ruby>町<rt>まち</rt></ruby>で <ruby>大<rt>だい</rt></ruby> <ruby>事件<rt>じけん</rt></ruby>が <ruby>起<rt>お</rt></ruby>こりました。,There was a major incident in town.,verb
起きる<div class="hint">occur; happen</div>,おきる,occur; happen,<ruby>近所<rt>きんじょ</rt></ruby>で <ruby>盗難<rt>とうなん</rt></ruby> <ruby>事件<rt>じけん</rt></ruby>が <ruby>起<rt>お</rt></ruby>きました。,A burglary occurred in my neighborhood.,verb
レストラン<div class="hint">restaurant</div>,れすとらん,restaurant,レストランでインド <ruby>料理<rt>りょうり</rt></ruby>を <ruby>食<rt>た</rt></ruby>べました。,I ate Indian food at the restaurant.,noun
寝る<div class="hint">sleep; go to sleep</div>,ねる,sleep; go to sleep,もう <ruby>寝<rt>ね</rt></ruby>よう。,Let's go to bed.,verb
静か<div class="hint">quiet; tranquil</div>,しずか,quiet; tranquil,<ruby>今年<rt>ことし</rt></ruby>の <ruby>夏休<rt>なつやす</rt></ruby>みには <ruby>静<rt>しず</rt></ruby>かな <ruby>所<rt>ところ</rt></ruby>へ <ruby>行<rt>い</rt></ruby>きたい。,I want to go to a quiet place this summer vacation.,adjectival noun
両親<div class="hint">parents</div>,りょうしん,parents,<ruby>私<rt>わたし</rt></ruby>の <ruby>両親<rt>りょうしん</rt></ruby>は <ruby>大阪<rt>おおさか</rt></ruby>に <ruby>住<rt>す</rt></ruby>んでいます。,My parents live in Osaka.,noun
両方<div class="hint">both</div>,りょうほう,both,チョコレートとケーキを <ruby>両方<rt>りょうほう</rt></ruby>ください。,I'll have both the chocolate and cake; please.,noun
メモ<div class="hint">memo; note</div>,めも,memo; note,メモを <ruby>取<rt>と</rt></ruby>ってください。,Please take notes.,noun
左側<div class="hint">left side</div>,ひだりがわ,left side,<ruby>画面<rt>がめん</rt></ruby>の <ruby>左側<rt>ひだりがわ</rt></ruby>を <ruby>見<rt>み</rt></ruby>てください。,Please look at the left side of the screen.,noun
右側<div class="hint">right side</div>,みぎがわ,right side,<ruby>彼女<rt>かのじょ</rt></ruby>はいつも <ruby>私<rt>わたし</rt></ruby>の <ruby>右側<rt>みぎがわ</rt></ruby>を <ruby>歩<rt>ある</rt></ruby>きます。,She always walks on my right.,noun
裏<div class="hint">the back; the reverse side</div>,うら,the back; the reverse side,<ruby>会社<rt>かいしゃ</rt></ruby>の <ruby>裏<rt>うら</rt></ruby>に <ruby>公園<rt>こうえん</rt></ruby>があります。,There's a park behind the company.,noun
パン<div class="hint">bread</div>,ぱん,bread,<ruby>朝<rt>あさ</rt></ruby>ご <ruby>飯<rt>はん</rt></ruby>にはいつもパンを <ruby>食<rt>た</rt></ruby>べる。,I always eat bread for breakfast.,noun
