これ,これ,this; this one,これをください。,I'll have this please.
大人,おとな,adult,<ruby>大人<rt>おとな</rt></ruby>の <ruby>言<rt>い</rt></ruby>うことを <ruby>聞<rt>き</rt></ruby>きなさい。,Listen to what adults say.
人,ひと,person,<ruby>彼<rt>かれ</rt></ruby>は <ruby>優<rt>やさ</rt></ruby>しい <ruby>人<rt>ひと</rt></ruby>です。,He's a nice guy.
一人,ひとり,one person,そこには <ruby>私<rt>わたし</rt></ruby> <ruby>一人<rt>ひとり</rt></ruby>しかいなかった。,I was the only one there.
二人,ふたり,two persons,<ruby>今日<rt>きょう</rt></ruby>は <ruby>妻<rt>つま</rt></ruby>と <ruby>二人<rt>ふたり</rt></ruby>で <ruby>食事<rt>しょくじ</rt></ruby>をします。,Today I'm having dinner with my wife; just the two of us.
外,そと,outside; open air,<ruby>外<rt>そと</rt></ruby>は <ruby>暑<rt>あつ</rt></ruby>いよ。,It's hot outside.
みんな,みんな,everybody,みんなにお <ruby>菓子<rt>かし</rt></ruby>をあげましょう。,Let's give everyone some sweets.
本,ほん,book; volume,<ruby>本<rt>ほん</rt></ruby>を１ <ruby>冊<rt>さつ</rt></ruby> <ruby>買<rt>か</rt></ruby>いました。,I bought one book.
休み,やすみ,rest; holiday,<ruby>今日<rt>きょう</rt></ruby>は <ruby>休<rt>やす</rt></ruby>みです。,Today is a holiday.
体,からだ,body; physique,<ruby>私<rt>わたし</rt></ruby>は <ruby>体<rt>からだ</rt></ruby>が <ruby>丈夫<rt>じょうぶ</rt></ruby>だ。,I'm physically strong.
力,ちから,strength; power,お <ruby>相撲<rt>すもう</rt></ruby>さんは、みんな <ruby>力<rt>ちから</rt></ruby> <ruby>持<rt>も</rt></ruby>ちだ。,All sumo wrestlers are strong.
目,め,eye,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>青<rt>あお</rt></ruby>い <ruby>目<rt>め</rt></ruby>をしています。,She has blue eyes.
口,くち,mouth,<ruby>口<rt>くち</rt></ruby>を <ruby>大<rt>おお</rt></ruby>きく <ruby>開<rt>あ</rt></ruby>けてください。,Open wide; please.
耳,みみ,ear,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>耳<rt>みみ</rt></ruby>がよく <ruby>聞<rt>き</rt></ruby>こえません。,Her hearing isn't very good.
上手,じょうず,good; skilled,<ruby>妹<rt>いもうと</rt></ruby>は <ruby>歌<rt>うた</rt></ruby>が <ruby>上手<rt>じょうず</rt></ruby>です。,My little sister can sing well.
手,て,hand,<ruby>分<rt>わ</rt></ruby>かった <ruby>人<rt>ひと</rt></ruby>は <ruby>手<rt>て</rt></ruby>を <ruby>上<rt>あ</rt></ruby>げてください。,Raise your hand if you know the answer.
どちら,どちら,which,<ruby>肉<rt>にく</rt></ruby>と <ruby>魚<rt>さかな</rt></ruby>とどちらが <ruby>好<rt>す</rt></ruby>きですか。,Which do you prefer; meat or fish?
下手,へた,not good at,<ruby>私<rt>わたし</rt></ruby>は <ruby>歌<rt>うた</rt></ruby>が <ruby>下手<rt>へた</rt></ruby>だ。,I'm a terrible singer.
足,あし,leg; foot,<ruby>彼<rt>かれ</rt></ruby>は <ruby>足<rt>あし</rt></ruby>が <ruby>長<rt>なが</rt></ruby>い。,He has long legs.
山,やま,mountain,<ruby>山<rt>やま</rt></ruby>の <ruby>空気<rt>くうき</rt></ruby>はきれいだ。,The mountain air is clean.
川,かわ,river; stream,<ruby>小<rt>ちい</rt></ruby>さな <ruby>川<rt>かわ</rt></ruby>を <ruby>渡<rt>わた</rt></ruby>りました。,I crossed a small stream.
ドア,どあ,door,ドアを <ruby>開<rt>あ</rt></ruby>けてください。,Please open the door.
空,そら,sky,<ruby>空<rt>そら</rt></ruby>の <ruby>写真<rt>しゃしん</rt></ruby>を <ruby>撮<rt>と</rt></ruby>るのが <ruby>好<rt>す</rt></ruby>きです。,I like to take photographs of the sky.
海,うみ,sea; ocean,<ruby>海<rt>うみ</rt></ruby>は <ruby>広<rt>ひろ</rt></ruby>くて <ruby>大<rt>おお</rt></ruby>きい。,The sea is vast and wide.
海外,かいがい,overseas; abroad,<ruby>彼<rt>かれ</rt></ruby>は <ruby>海外<rt>かいがい</rt></ruby>での <ruby>生活<rt>せいかつ</rt></ruby>が <ruby>長<rt>なが</rt></ruby>いです。,He's lived abroad for a long time.
毎月,まいつき,every month,<ruby>私<rt>わたし</rt></ruby>は <ruby>毎月<rt>まいつき</rt></ruby> <ruby>貯金<rt>ちょきん</rt></ruby>をしています。,I save money every month.
毎日,まいにち,every day,<ruby>私<rt>わたし</rt></ruby>たちは <ruby>毎日<rt>まいにち</rt></ruby> <ruby>散歩<rt>さんぽ</rt></ruby>をします。,We go for a walk every day.
毎年,まいとし,every year (colloquial),<ruby>私<rt>わたし</rt></ruby>は <ruby>毎年<rt>まいとし</rt></ruby>、 <ruby>海外<rt>かいがい</rt></ruby> <ruby>旅行<rt>りょこう</rt></ruby>に <ruby>行<rt>い</rt></ruby>きます。,I travel abroad every year.
花,はな,flower,きれいな <ruby>花<rt>はな</rt></ruby>が <ruby>咲<rt>さ</rt></ruby>きました。,Beautiful flowers have bloomed.
森,もり,forest,<ruby>私<rt>わたし</rt></ruby>は <ruby>森<rt>もり</rt></ruby>を <ruby>歩<rt>ある</rt></ruby>くのが <ruby>好<rt>す</rt></ruby>きです。,I like to walk in the forest.
男,おとこ,man; male,<ruby>男<rt>おとこ</rt></ruby>の <ruby>人<rt>ひと</rt></ruby>が <ruby>私<rt>わたし</rt></ruby>たちに <ruby>話<rt>はな</rt></ruby>しかけた。,This guy began talking to us.
女,おんな,woman; female,<ruby>店員<rt>てんいん</rt></ruby>は <ruby>若<rt>わか</rt></ruby>い <ruby>女<rt>おんな</rt></ruby>の <ruby>人<rt>ひと</rt></ruby>でした。,The salesclerk was a young woman.
女の子,おんなのこ,girl,あの <ruby>女<rt>おんな</rt></ruby>の <ruby>子<rt>こ</rt></ruby>を <ruby>知<rt>し</rt></ruby>っていますか。,Do you know that girl?
男の子,おとこのこ,boy,<ruby>男<rt>おとこ</rt></ruby>の <ruby>子<rt>こ</rt></ruby>たちがサッカーをしている。,The boys are playing soccer.
子,こ,child; kid,その <ruby>子<rt>こ</rt></ruby>は <ruby>日本語<rt>にほんご</rt></ruby>が <ruby>分<rt>わ</rt></ruby>からない。,That kid doesn't understand Japanese.
子供,こども,child; kid,<ruby>電車<rt>でんしゃ</rt></ruby>で <ruby>子供<rt>こども</rt></ruby>が <ruby>騒<rt>さわ</rt></ruby>いでいた。,Kids were making a lot of noise in the train.
大好き,だいすき,love,<ruby>私<rt>わたし</rt></ruby>は <ruby>犬<rt>いぬ</rt></ruby>が <ruby>大好<rt>だいす</rt></ruby>きだ。,I love dogs.
好き,すき,favorite; liked,<ruby>私<rt>わたし</rt></ruby>はワインが <ruby>好<rt>す</rt></ruby>きです。,I like wine.
私,わたし,I (general),<ruby>私<rt>わたし</rt></ruby>が <ruby>行<rt>い</rt></ruby>きましょう。,I'll go.
私たち,わたしたち,we,<ruby>私<rt>わたし</rt></ruby>たちは <ruby>来月<rt>らいげつ</rt></ruby> <ruby>結婚<rt>けっこん</rt></ruby>します。,We will get married next month.
友達,ともだち,friend; companion,<ruby>私<rt>わたし</rt></ruby>には <ruby>友達<rt>ともだち</rt></ruby>がたくさんいます。,I have a lot of friends.
家,うち,home; household,<ruby>家<rt>うち</rt></ruby>に <ruby>遊<rt>あそ</rt></ruby>びに <ruby>来<rt>き</rt></ruby>てください。,Please come over to my home.
ここ,ここ,here,ここに <ruby>本<rt>ほん</rt></ruby>があります。,There's a book here.
家,いえ,house; dwelling,ここが <ruby>私<rt>わたし</rt></ruby>の <ruby>家<rt>いえ</rt></ruby>です。,This is my house.
客,きゃく,visitor; customer,その <ruby>店<rt>みせ</rt></ruby>は <ruby>若<rt>わか</rt></ruby>い <ruby>客<rt>きゃく</rt></ruby>が <ruby>多<rt>おお</rt></ruby>いです。,That shop has a lot of young customers.
天ぷら,てんぷら,Japanese deep-fried food,<ruby>私<rt>わたし</rt></ruby>はえびの <ruby>天<rt>てん</rt></ruby>ぷらが <ruby>好<rt>す</rt></ruby>きです。,I like shrimp tempura.
元気,げんき,healthy; energetic,おかげさまで <ruby>元気<rt>げんき</rt></ruby>です。,I'm fine; thank you.
天気,てんき,weather,<ruby>今日<rt>きょう</rt></ruby>はいい <ruby>天気<rt>てんき</rt></ruby>ですね。,It's nice out today.
人気,にんき,popularity,このバンドはとても <ruby>人気<rt>にんき</rt></ruby>があるよ。,That band is very popular.
空気,くうき,air; atmosphere,ここは <ruby>空気<rt>くうき</rt></ruby>がきれいです。,The air is clean here.
雨,あめ,rain,<ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>っています。,It's raining.
雪,ゆき,snow; snowfall,クリスマスに <ruby>雪<rt>ゆき</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>りました。,It snowed on Christmas Day.
青,あお,blue; green,<ruby>私<rt>わたし</rt></ruby>の <ruby>好<rt>す</rt></ruby>きな <ruby>色<rt>いろ</rt></ruby>は <ruby>青<rt>あお</rt></ruby>です。,My favorite color is blue.
晴れ,はれ,fine weather; clear sky,<ruby>明日<rt>あす</rt></ruby>の <ruby>天気<rt>てんき</rt></ruby>は <ruby>晴<rt>は</rt></ruby>れです。,Tomorrow's weather will be sunny.
明日,あした,tomorrow (colloquial),では、また <ruby>明日<rt>あした</rt></ruby>。,See you tomorrow.
テーブル,てーぶる,table,<ruby>新<rt>あたら</rt></ruby>しいテーブルを <ruby>買<rt>か</rt></ruby>いました。,I bought a new table.
昨日,きのう,yesterday (colloquial),<ruby>昨日<rt>きのう</rt></ruby>、 <ruby>友達<rt>ともだち</rt></ruby>に <ruby>会<rt>あ</rt></ruby>った。,I met my friend yesterday.
昨年,さくねん,last year (formal; often used in writing),<ruby>昨年<rt>さくねん</rt></ruby>は <ruby>地震<rt>じしん</rt></ruby>が <ruby>多<rt>おお</rt></ruby>い <ruby>年<rt>とし</rt></ruby>でした。,We had a lot of earthquakes last year.
一昨日,おととい,the day before yesterday (colloquial),<ruby>一昨日<rt>おととい</rt></ruby> <ruby>彼<rt>かれ</rt></ruby>から <ruby>電話<rt>でんわ</rt></ruby>がありました。,I got a phone call from him the day before yesterday.
東,ひがし,east; eastern,<ruby>日<rt>ひ</rt></ruby>は <ruby>東<rt>ひがし</rt></ruby>から <ruby>上<rt>のぼ</rt></ruby>ります。,The sun rises in the east.
西,にし,west; western,<ruby>太陽<rt>たいよう</rt></ruby>は <ruby>西<rt>にし</rt></ruby>に <ruby>沈<rt>しず</rt></ruby>みます。,The sun sets in the west.
ゲーム,げーむ,game,<ruby>私<rt>わたし</rt></ruby>たちはビデオゲームをした。,We played a video game.
南,みなみ,south,<ruby>私<rt>わたし</rt></ruby>の <ruby>家<rt>いえ</rt></ruby>は <ruby>町<rt>まち</rt></ruby>の <ruby>南<rt>みなみ</rt></ruby>にあります。,My house is in the south of the town.
北,きた,north,ロシアは <ruby>日本<rt>にっぽん</rt></ruby>の <ruby>北<rt>きた</rt></ruby>にあります。,Russia is north of Japan.
向こう,むこう,over there; on the other side,<ruby>友達<rt>ともだち</rt></ruby>は <ruby>向<rt>む</rt></ruby>こうにいます。,My friend is over there.
方向,ほうこう,direction; course,あの <ruby>人<rt>ひと</rt></ruby>たちは <ruby>皆<rt>みな</rt></ruby>、 <ruby>同<rt>おな</rt></ruby>じ <ruby>方向<rt>ほうこう</rt></ruby>を <ruby>見<rt>み</rt></ruby>ている。,Those people are all looking at the same direction.
どうして,どうして,why,どうして <ruby>泣<rt>な</rt></ruby>いているの。,Why are you crying?
ミーティング,みーてぃんぐ,meeting,<ruby>朝<rt>あさ</rt></ruby>９ <ruby>時<rt>じ</rt></ruby>からミーティングが <ruby>始<rt>はじ</rt></ruby>まった。,The meeting started at 9 a.m.
時間,じかん,time; hour,<ruby>今<rt>いま</rt></ruby>は <ruby>時間<rt>じかん</rt></ruby>がありません。,I don't have time now.
