行う,おこなう,do; carry out,その <ruby>会社<rt>かいしゃ</span></rt></ruby>は <ruby>来月<rt>らいげつ</span></rt></ruby>、キャンペーンを <ruby>行<rt>おこな</span></rt></ruby>う。,The company is going to run a campaign next month.
上がる,あがる,get nervous,<ruby>彼<rt>かれ</span></rt></ruby>は <ruby>人前<rt>ひとまえ</span></rt></ruby>だと <ruby>上<rt>あ</span></rt></ruby>がってしまう。,He gets nervous in front of other people.
ぶら下がる,ぶらさがる,hang down; dangle,<ruby>猿<rt>さる</span></rt></ruby>が <ruby>木<rt>き</span></rt></ruby>にぶら <ruby>下<rt>さ</span></rt></ruby>がってるな。,A monkey is hanging in the tree.
下さる,くださる,give (honorific),<ruby>先生<rt>せんせい</span></rt></ruby>が <ruby>手紙<rt>てがみ</span></rt></ruby>を <ruby>下<rt>くだ</span></rt></ruby>さいました。,The teacher gave me a letter.
出来上がる,できあがる,be completed; be finished,この <ruby>家<rt>いえ</span></rt></ruby>は <ruby>来年<rt>らいねん</span></rt></ruby> <ruby>出来上<rt>できあ</span></rt></ruby>がります。,This house will be completed next year.
外す,はずす,remove (something); take off,<ruby>彼<rt>かれ</span></rt></ruby>はメガネを <ruby>外<rt>はず</span></rt></ruby>しました。,He took off his glasses.
外れる,はずれる,come off,びんのふたが <ruby>外<rt>はず</span></rt></ruby>れません。,The jar lid doesn't come off.
好む,このむ,like; be fond of,<ruby>彼女<rt>かのじょ</span></rt></ruby>は <ruby>背<rt>せ</span></rt></ruby>の <ruby>高<rt>たか</span></rt></ruby>い <ruby>男性<rt>だんせい</span></rt></ruby>を <ruby>好<rt>この</span></rt></ruby>みますね。,She likes tall men.
こぼす,こぼす,spill (something),ソファにワインをこぼした。,I spilt wine on the sofa.
明ける,あける,dawn; end,もうすぐ <ruby>夜<rt>よ</span></rt></ruby>が <ruby>明<rt>あ</span></rt></ruby>けるね。,Dawn will break soon.
向ける,むける,turn toward; point at,<ruby>彼<rt>かれ</span></rt></ruby>は <ruby>上司<rt>じょうし</span></rt></ruby>に <ruby>怒<rt>いか</span></rt></ruby>りの <ruby>目<rt>め</span></rt></ruby>を <ruby>向<rt>む</span></rt></ruby>けたんだよ。,He glared at his boss in anger.
開ける,ひらける,develop; open up,<ruby>霧<rt>きり</span></rt></ruby>が <ruby>晴<rt>は</span></rt></ruby>れて <ruby>視界<rt>しかい</span></rt></ruby>が <ruby>開<rt>ひら</span></rt></ruby>けたね。,The fog has cleared up and visibility has increased.
高める,たかめる,heighten (something); improve,<ruby>自分<rt>じぶん</span></rt></ruby>を <ruby>高<rt>たか</span></rt></ruby>めるのは <ruby>大切<rt>たいせつ</span></rt></ruby>なことです。,It's important to improve oneself.
食う,くう,eat (vulgar language),<ruby>腹一杯<rt>はらいっぱい</span></rt></ruby> <ruby>食<rt>く</span></rt></ruby>った。,I ate heartily.
見上げる,みあげる,look up,<ruby>私<rt>わたし</span></rt></ruby>は <ruby>空<rt>そら</span></rt></ruby>を <ruby>見上<rt>みあ</span></rt></ruby>げたの。,I looked up at the sky.
語る,かたる,tell; talk,<ruby>今夜<rt>こんや</span></rt></ruby>は <ruby>大<rt>おお</span></rt></ruby>いに <ruby>語<rt>かた</span></rt></ruby>りましょう。,Let's talk about everything tonight.
合わせる,あわせる,match (something); adapt (oneself),<ruby>日時<rt>にちじ</span></rt></ruby>はご <ruby>都合<rt>つごう</span></rt></ruby>に <ruby>合<rt>あ</span></rt></ruby>わせます。,The date can be decided according to your schedule.
満ちる,みちる,become full; wax,<ruby>月<rt>つき</span></rt></ruby>が <ruby>満<rt>み</span></rt></ruby>ちてきましたね。,The moon is waxing.
まく,まく,scatter; sprinkle,<ruby>日本<rt>にほん</span></rt></ruby>では、 <ruby>二月<rt>にがつ</span></rt></ruby>に <ruby>豆<rt>まめ</span></rt></ruby>をまく <ruby>行事<rt>ぎょうじ</span></rt></ruby>がある。,In Japan; there's a bean throwing festival in February.
通じる,つうじる,pass; communicate with,その <ruby>国<rt>くに</span></rt></ruby>では <ruby>英語<rt>えいご</span></rt></ruby>は <ruby>通<rt>つう</span></rt></ruby>じますか。,Do they speak English in that country?
通す,とおす,pass (someone/something) through,<ruby>針<rt>はり</span></rt></ruby>に <ruby>糸<rt>いと</span></rt></ruby>を <ruby>通<rt>とお</span></rt></ruby>してください。,Please thread the needle.
広げる,ひろげる,spread (something),<ruby>電車<rt>でんしゃ</span></rt></ruby>の <ruby>中<rt>なか</span></rt></ruby>では <ruby>新聞<rt>しんぶん</span></rt></ruby>を <ruby>広<rt>ひろ</span></rt></ruby>げないで。,Don't spread your newspaper wide open in the train.
広める,ひろめる,spread (information etc.); make (something) known,<ruby>誰<rt>だれ</span></rt></ruby>が <ruby>噂<rt>うわさ</span></rt></ruby>を <ruby>広<rt>ひろ</span></rt></ruby>めたんだろう。,I wonder who spread the rumor.
味わう,あじわう,savor; appreciate,<ruby>母<rt>はは</span></rt></ruby>の <ruby>手料理<rt>てりょうり</span></rt></ruby>をゆっくり <ruby>味<rt>あじ</span></rt></ruby>わいました。,I took my time savoring my mother's homemade cooking.
解く,とく,solve (a problem); unknot,この <ruby>問題<rt>もんだい</span></rt></ruby>を <ruby>解<rt>と</span></rt></ruby>けますか。,Can you solve this question?
